xo,xa,xb,lon,lat,roll,Psc,Psn,Pbc,Pbn,Rsc,Rsn,Rbc,Rbn,crls,crlb,e1,sh,h0,h1,Q1
68499.0,68000.0,68999.0,-56.58563755707121,75.34444796168444,0.0,-78.2634711154953,-79.22828054059711,-149.4991192532894,-146.2107961566591,-7.940883266075249,-0.2520189762479309,-24.825660489142585,-11.198415854339888,0.9623659893823442,0.9786232227231372,9.675222471192377,0.086094244348718,462.90776385174,932.9090059793775,-18.658180119587552
68749.0,68250.0,69249.0,-56.58719028918344,75.34520590796312,0.0,-79.0352433783683,-78.6764617872204,-149.1409856534019,-145.46680009221907,-8.739537537598407,0.25947676415353876,-23.918944031421525,-10.163912017107863,0.9184337832064036,0.9853726155538473,8.776166673106369,0.09531862767179496,461.47732269411205,943.3955485236407,-18.867910970472813
68999.0,68500.0,69499.0,-56.58874580807348,75.34596408929933,0.0,-79.44366001627466,-78.00089383063239,-149.82292649950074,-143.50275441415425,-9.192407030765912,0.8683654378498316,-23.11510569740866,-6.722557055421245,0.9323515559897971,0.9873328437155667,8.748332975989529,0.10300561377435909,459.12159617229497,958.2081761249877,-19.164163522499756
69249.0,68750.0,69749.0,-56.59030410936114,75.34672246965546,0.0,-77.48566562977645,-77.02258877836749,-147.7267815009419,-141.42095433071097,-7.262845627903241,1.8040210146614186,-14.287556892611013,,0.7761000244837588,0.9933432199559576,14.769633312189892,0.09531862767179496,457.62113341955256,974.5405517886045,-19.49081103577209
69499.0,69000.0,69999.0,-56.59186495505738,75.34748102563817,0.0,-78.87537787308293,-81.24442884833535,-145.52447052720413,-142.738560853163,-8.697195436950032,-2.484775403916912,-21.958745942753247,-5.255154574042499,0.9389274227998108,0.9977338822164515,6.866526051255997,0.07686986102564104,455.27540998275845,980.4706592921951,-19.609413185843902
69749.0,69250.0,70249.0,-56.5934278228262,75.34823976123141,0.0,-77.33023968022205,-76.76092609037931,-144.90848506760224,-142.53839909726742,-7.196829477093117,1.9315690045331746,-9.354931304160022,,0.9075528773943142,0.9926414130220792,15.741694538911684,0.09685602489230778,452.9346880884677,988.6143739548522,-19.772287479097045
69999.0,69500.0,70499.0,-56.59499210720533,75.34899868954722,0.0,-78.75500343998519,-80.58558311931998,-144.73080309231707,-142.8817151434096,-8.657732033762496,-1.947296219766839,-19.67275197051292,-4.515644944184255,0.9027830122059857,0.9963179868447838,7.33671373030445,0.08148205268717952,451.05410810500945,998.4182939868955,-19.96836587973791
70249.0,69750.0,70749.0,-56.59655715225633,75.34975783533085,0.0,-77.69897572973785,-81.16806642836508,-145.9134802095065,-143.8290495539058,-7.644379796970535,-2.5937927389950093,-20.44346228963682,-4.687370733841129,0.8795068500836357,0.9680279891399789,8.542851166605326,0.07072027214358974,448.84342631594336,1003.6433058090731,-20.07286611618146
70499.0,70000.0,70999.0,-56.598122206228204,75.3505172298922,0.0,-77.2488788742233,-81.44593837509899,-145.54167095173864,-143.36969388688453,-7.217543279534636,-2.906555192846901,-19.943216882785034,-3.949982912358308,0.910037782740835,0.9672236919970143,9.200053739535967,0.06610808048205126,447.64305611373334,1004.455149043799,-20.08910298087598
70749.0,70250.0,71249.0,-56.599686824364674,75.35127688148484,0.0,-76.7694225409584,-81.63051989550951,-145.71102728979344,-143.209319984329,-6.761604361536295,-3.1264128361572556,-19.88441246781344,-3.550952551479675,0.9483600267269295,0.95303128384489,10.266522448965919,0.06303328604102561,446.4326828265056,1000.3453682395734,-20.006907364791466
70999.0,70500.0,71499.0,-56.6012507382701,75.35203679059146,0.0,-76.75354672751799,-81.54381658298975,-147.4170471905605,-141.64906149525268,-6.761604754596185,-3.063523833387949,-21.793105241600237,-1.7767278063335943,0.9016160860866733,0.9924451032438671,10.266521105357128,0.06303328604102561,445.6174313975076,996.0473746438257,-19.920947492876515
71249.0,70750.0,71749.0,-56.60281374768559,75.35279695071877,0.0,-78.45679589348966,-81.10571927851316,-147.35653237920616,-142.06177877293578,-8.476658120105773,-2.6431328282182354,-22.905534743508408,-3.3099912388850354,0.8916123720132151,0.9938429212907826,7.145822221732456,0.07533246380512822,445.0122447538999,998.1767074186898,-19.963534148373796
71499.0,71000.0,71999.0,-56.60437589115361,75.35355731609283,0.0,-79.35189324462607,-80.25641219466124,-147.71032781691295,-143.16756029880995,-9.378689377965902,-1.8042266044518838,-23.12921630871379,-4.725655953758839,0.9029487910971468,0.9894639725392544,6.454251636323114,0.086094244348718,444.6571352357481,999.9577060720328,-19.999154121440657
71749.0,71250.0,72249.0,-56.60593721729472,75.35431781531321,0.0,-78.86740308875383,-80.39143382772774,-147.04849217257242,-143.24639561860508,-8.89683751327249,-1.9432056742866304,-22.405583219442423,-4.888216300111752,0.8881310016276407,0.9905870129073889,7.020963998565965,0.08301944990769235,444.522093588,994.1174912449586,-19.882349824899173
71999.0,71500.0,72499.0,-56.60749772736172,75.35507837395417,0.0,-78.04004227260516,-79.83872277671814,-146.49061707299552,-142.78167378460589,-8.070747271335739,-1.3924004845949125,-21.11560461418538,-4.646609662611602,0.9099563832260329,0.9949696892981739,8.668453535451173,0.08148205268717952,444.45707353537813,980.6616812297053,-19.613233624594105
72249.0,71750.0,72749.0,-56.60905728678033,75.35583891213261,0.0,-76.29911452895064,-80.47978673517292,-145.5079898464199,-140.37321653590067,-6.329721784604651,-2.0333178284348463,-19.806125516642926,-1.979520284320189,0.9352226305168215,0.987781047904816,12.451102334776992,0.06610808048205126,444.462075077881,960.8600100819942,-19.217200201639887
72499.0,72000.0,72999.0,-56.61061559429468,75.3565993803907,0.0,-75.55842648467663,-78.86948723902026,-141.97333185056846,-138.80938942775052,-5.586590520816355,-0.41935350301074953,-12.249010728148091,,0.8719109639415478,0.9839019881785527,18.316571973283438,0.07072027214358974,444.5871136406092,945.297340461035,-18.9059468092207
72749.0,72250.0,73249.0,-56.61217216651632,75.35735979089925,0.0,-77.65135324352677,-79.64314582477388,-139.76360092473146,-139.78083227847196,-7.676293281855896,-1.188176092048471,-15.688296488365392,-6.33801455137427,0.9069749763058839,0.9758684601675849,9.577605226420376,0.0799446554666667,444.7521645434126,938.510443384438,-18.77020886768876
72999.0,72500.0,73499.0,-56.61372641900985,75.35812018101696,0.0,-79.22072097869639,-80.71858565512477,-138.67889751287646,-140.0267358978376,-9.248591874671723,-2.2680122088686607,-17.137074977070807,-6.179605563524331,0.9489396690163214,0.9917757756481127,6.421242728533261,0.08301944990769235,444.6021182681407,938.6228092300768,-18.772456184601538
73249.0,72750.0,73749.0,-56.615277916164395,75.35888060130341,0.0,-81.12334131337033,-80.58824110339256,-139.62570543312222,-139.78333732675512,-11.152678009109117,-2.1398663567816465,-18.515349721567965,-5.523616229930877,0.9715391858915776,0.9943785080313173,4.9276210848574475,0.09685602489230778,444.5270951305058,946.5024641555196,-18.930049283110392
73499.0,73000.0,73999.0,-56.61682647450146,75.35964106883817,0.0,-78.08691860308268,-78.62370296190589,-149.05887012904884,-137.3397344318312,-8.116548488460095,-0.17576799975291627,-22.98790366659347,0.8266344420694854,0.74574430569989,0.979742425717815,9.615560861321192,0.08916903878974365,444.5120905029779,959.3964449425984,-19.18792889885197
73749.0,73250.0,74249.0,-56.6183722274049,75.36040155629942,0.0,-80.18851791109674,-80.65034348633812,-149.60296723604068,-140.56956662155486,-10.211797568972266,-2.1928831829323214,-26.612370416039294,-3.277860947519894,0.9671203020083293,0.982721906015505,5.509664982003511,0.08916903878974365,444.8371907660756,981.5971268947221,-19.631942537894442
73999.0,73500.0,74499.0,-56.61991555923371,75.3611619840438,0.0,-80.90936860017565,-80.56573183787249,-149.276736110897,-145.22895153798268,-10.899215268771673,-2.0581220505474143,-24.9689709141162,-6.792687591767957,0.9249116070000485,0.9817305934352616,5.101173989835316,0.09531862767179496,446.55271984672885,1012.9893350201206,-20.259786700402415
74249.0,73750.0,74749.0,-56.62145713744616,75.36192219320994,0.0,-80.42987942217232,-81.71080017902624,-149.3969355519732,-149.57757575459001,-10.38380504920595,-3.149308829357573,-24.186543887984797,-10.179932223881234,0.9256552702456057,0.975720169686412,5.052245350050504,0.08455684712820517,448.40329057513236,1043.0837176284244,-20.86167435256849
